content,translated_content
mantap bantu,great help
laman program subsidi akses muncul pemberitahuan halaman muat koneksi stabil coba telkomsel wifi,Subsidy program page access notification appears loading page stable connection try telkomsel wifi
habis update aplikasi buka,"After updating the application, open it"
bantu,help
coba sukses barcode tuk beli bahan bakar minyak alas suruh update update data verifikasi stnk daftar error tolong aplikasi baru mudah masyarakat,try success barcode to buy fuel oil alas told to update update data verification STNK list error please new application easy for the community
oke kamera lot,ok camera lot
,#VALUE!
beli mobil bekas mohon keluh nomor polisi valid aplikasi rusak,buy used car please complain valid police number broken application
aplikasi mutu registrasi,registration quality application
unduh aplikasi update kurang daftar bikin atur susah masyarakat,"download the update application, less registration makes it difficult for the community to organize"
mantap,Excellent
aplikasi,application
data isi akun salah coba sulit bumn,wrong account data try difficult bumn
barcode,barcode
aplikasi guna sih sulit,the application is difficult to use
aktivasi sulit susah orang,activation is difficult people
oke,Okay
daftar kendara bahan bakar minyak subsidi aplikasi browser hasil,"list of subsidized fuel oil vehicles, results browser application"
susah akun daftar daftar ulang wajib bpkb,difficult account registration re-registration mandatory bpkb
aplikasi mumpuni susah orang,qualified application is difficult for people
buruk daftar mypertamina login nik sandi sesuai masuk sulit masyarakat aplikasi buruk parah gin sulit masyarakat hadehh,bad mypertamina login nik password according to enter difficult society bad application severe gin difficult society hadehh
layan sesuai prosedur operasi standar,service according to standard operating procedures
mantap pokok,steady main
subsidi tepat kapasitas mesin salah kunci subsidi sich mobil mewah isi pertalite bio solar aneh,right subsidy engine capacity wrong key subsidy luxury car filled with pertalite bio solar strange
baik,Good
susah rakyat masuk data sesuai sistem ulang beli pertamax,It's hard for people to enter data according to the Pertamax re-purchase system
aplikasi update mohon isi data ka,"Update application, please fill in your data"
aplikasi ampas stabil launch publish sulit isi bensin pakai barcode,stable dregs application launch publish difficult to fill petrol using barcode
daftar aplikasi web salah sistem silah coba hub kali customer ganti handphone daftar web hasil bilang cek kala sistem luncur,"list of web applications, system error, please try to contact the customer when changing cellphones, list of web results, say check when the system is launched"
aplikasi sih bikin susah rakyat solusi daftar susah mohon perhati senang sih lihat rakyat susah,The application makes it difficult for the people. The solution to registering is difficult. Please pay attention. It's nice to see the people in difficulty.
error daftar kendara pasu nomor rangka tulis data kendara sesuai data sesuai kali isi data,"error in vehicle registration with frame number, write vehicle data according to the data according to the data contents"
oke bagus,okay good
good job,good job
ikut tunjuk proses daftar akun gampang tinggal tunggu verifikasi,"Follow the easy account registration process, just wait for verification"
oke,Okay
mudah bagus sistem,easy good system
bayar pakai aplikasi mypertamina tolak alas catat pakai pertamax,"pay using mypertamina application, reject the base note using pertamax"
baik,Good
barcode pakai orang main orang spbu toling generate barcode,barcode use people play people gas station toling generate barcode
barcode subsidi barcode salin curi orang tanggung batas limit isi bahan bakar minyak pakai habis tugas spbu isi habis limit main isi pindai barcode periksa sesuai nomor polisi pokok main pindai main colok atur perintah konyol,barcode subsidy barcode copy steal person responsible limit limit fill fuel oil used up task gas station fill up limit play fill scan barcode check according to police number main play scan play plug set silly command
oke,Okay
cepat layan ramah,fast friendly service
update,update
mantap,Excellent
terima kasih,Thank You
bagus,Good
oke,Okay
kadang puas kadang kecewa layan pom bensin,sometimes satisfied sometimes disappointed gas station service
terima kasih bantu masyarakat,thank you for helping the community
buat barcode lumayan mudah,making barcodes is quite easy
bagus,Good
ngawur beli bahan bakar minyak pakai barcode lihat transaksi,buy fuel oil carelessly using barcode see transaction
oke,Okay
bagus aplikasi sungguh bantu jaman modern,good application really helps in modern times
bayar pilih bank bank,pay select bank bank
daftar subsidi mt pertamina gagal ktp daftar email mypertamina daftar email daftar email mypertamina suruh foto bpkb mobil kredit foto bpkb mohon solusi,list of mt pertamina subsidies failed ktp register mypertamina email register email register mypertamina email ask for photo of car bpkb credit photo of bpkb please provide solution
aplikasi bagus daftar susah,good app but hard to register
bagus mypertamina,good mypertamina
ganti nomor handphone,change mobile number
kembang mypertamina tolong ain bayar via aplikasi dana,Mypertamina flower please pay via the Dana application
oke,Okay
oke,Okay
susah,difficult
bagus,Good
sulit masyarakat,difficult society
mantap,Excellent
suruh pakai daftar ulang benar deh terap masyarakat somplak,"tell me to use re-registration, that's right, the Somplak community"
oke mantap,okay great
mutu layan pertamina pom bagus moga langka bahan bakar pertalite bahan bakar,"Pertamina gas station service quality is good, hopefully Pertalite fuel is scarce"
aplikasi simpel isi minyak non subsidi spbu,simple application to fill non-subsidized gas stations
daftar isi data tolak sih data beli minyak sulit lh minyak habis nii,table of contents data reject data buy oil is difficult because the oil is running out
sulit rakyat daftar barcode sulit coba fitur daftar mudah verifikasi dar daftar,difficult people register barcode difficult try easy register feature verify from register
sulit tolol,hard idiot
bantu bikin barcode bahan bakar minyak pertalite mobil,help make a barcode for car fuel pertalite
aplikasi bayar klaim poin guna antri cepat lambat tunggu proses bayar update fitur metode bayar gopay ovo klik gagal proses haisss fakta lapang motor beli pertalite pakai aplikasi kaya oknum aplikasi paksa pertamax,application to pay claim points to queue fast slow wait for the payment process update feature payment method gopay ovo click failed process haisss field facts motorbike buy pertalite using application like a criminal application forcing pertamax
aplikasi riset sandi error fitur aplikasi fokus tuju kontrol pengunaan bahan bakar minyak subsidi kalimantan barat kabupaten sekadau pakai barcode pom bensin cepat habis kosong aneh,research application error password feature application focus aim control use of subsidized fuel oil West Kalimantan Sekadau Regency use barcode gas station quickly runs out empty strange
oke,Okay
rumit sinyal spbu susah,complicated gas station signal is difficult
oke mobil mewah isi pertalite,okay luxury car filled with pertalite
buka subsidi pakai browser nyatu aplikasi,Open the subsidy using the browser and the application
gin coba salah sistem mohon coba akun sulit,gin try wrong system please try account difficult
sulit bang,it's difficult bro
coba ratus kali pakai web aplikasi ganggu sistem mypertamina sistem pasar parah parah,try hundreds of times using web application disrupts mypertamina system market system is very serious
aplikasi tolol susah,stupid app hard
bagus,Good
daftar gagal data roda ubah roda tolak verifikasi data,list failed data wheel change wheel reject data verification
update nama ubah dana data input hilang history beli bahan bakar minyak hilang parah data kendara hilang input malas ahh,"update name, change funds, input data lost, fuel purchase history lost, driving data lost, lazy input, ahh"
batu rumah kode qr,qr code house stone
aplikasi ngawur koneksi gopay,gopay connection application is wrong
centang tombol paham tuju baca,check the understand button to read
wow,wow
terima kasih aplikasi mypertamina posisi spbu dekat,Thank you mypertamina application for the location of the nearest gas station
unggah foto ktp kali gagal bikin aplikasi mudah rakyat sulit gilir unggah cek data roda bagong negara,upload photo of ID card failed to make application easy for people difficult to upload check data wheel bagong country
good,good
buruk,bad
aplikasi daerah guna spbu layan bayar aplikasi,regional application for gas stations to pay for the application
bagus mudah praktis sambung bayar dompet elektronik,good easy practical connect pay e-wallet
operasi mudah,easy operation
,#VALUE!
barcode update pakai,barcode update use
daftar pertalite kasih solat mobil ss mitsubishi kacau,list of pertalite love prayer ss mitsubishi car messed up
sulit,difficult
kondousip,conducive
error,error
mantap,Excellent
pakai barcode blokir terang kendara kategori terima bahan bakar minyak subsidi tolong admin baik layan bikin susah,"use a barcode to block bright vehicles in the category of receiving subsidized fuel oil, please admin, good service makes it difficult"
good,good
susah isi menu utama,hard to fill main menu
voucher,voucher
aplikasi payah ambil otp error kirim data bikin qr sistem alami salah alas bikin aplikasi sengaja sulit rakyat alas jaring bayar server korupsi wajib,lousy application take otp error send data make qr natural system wrong reason make application deliberately difficult people reason network pay server corruption mandatory
admin kendara habis mutasi daftar barcode solar isi data suruh foto stnk stnk suruh tunggu solusi admin,"admin drives after mutation, registers solar barcode, fills in data, asks for photo of vehicle registration certificate, asks for vehicle registration certificate to wait for admin's solution"
susah daftar tolak data asli,hard to register reject original data
bagus lanjut,good go ahead
bayar kartu kredit gagal cek muncul langsung halaman utama,credit card payment failed check appears directly on the main page
mantap,Excellent
dllu kecewa pertamina terima saldo linkaja,dllu disappointed pertamina accept linkaja balance
menu barcode,barcode menu
daftar akun alas nik ktp salah ulang cek salah input,register account base nik ktp wrong recheck wrong input
plus nilai bikin ringkas sulit rumit,plus value makes it simple difficult complicated
bantu,help
aplikasi error kh unggah foto stnk sma foto mobil tulis coba,application error kh upload photo of vehicle registration certificate and car photo write try
aplikasi sih susah ikut klik centang bolak,"the application is difficult to follow, clicking the check mark back and forth"
kasih bintang ramai ramai,love stars crowd crowd
mantap adil,steady and fair
sedih kemudi beaf isi liter pertamax daerah batim terima,sad steering beaf fill liter pertamax batim area received
simpel bantu,simple help
mantap percaya,firmly believe
oke,Okay
mantap,Excellent
oke,Okay
daftar salah sistem,system error list
baik sistem,good system
spbu,gas station
mantap,Excellent
tolong baik layan scan hati hati pakai handphone iqoo kamera lumayan bagus aplikasi pindai qr cepat aplikasi susah bayar pakai mypertamina ribut tugas gara gara aplikasi error,"Please be kind and scan carefully using an iqoo cellphone, the camera is quite good, the qr scanning application is fast, the application is difficult to pay using mypertamina, the assignment is noisy because the application has an error"
,#VALUE!
gagap teknologi kali coba qr kode bahan bakar minyak gagal tolong bantu terima kasih,technology stutter this time try qr code fuel oil failed please help thank you
mantap,Excellent
foto stnk unggah handphone komputer foto langsung sulit daftar,STNK photo upload cellphone computer direct photo difficult to register
bagusmudahpraktis,goodeasypractical
nge leg aplikasi danta sesal pakai aplikasi,nge leg application danta regret using the application
inovasi tiada henti keren,cool non-stop innovation
mantap,Excellent
ganti pin blokir aduh parah,change pin block oh my bad
puas,satisfied
parah lupa print barcode ambil barcode susah mati,"Seriously forgot to print the barcode, taking the barcode is very difficult"
ubah daftar akun subsidi gagal daftar web halaman muat salah sistem mohon coba capai input data kali kali tolong baik mudah ikut bijak perintah terima kasih,change list of subsidized accounts failed to register web page loading system error please try to achieve input data several times please be good easy to follow wise command thank you
mantap,Excellent
mantap,Excellent
bayar error antri ujung ujung beli antri,pay error queue end end buy queue
maaf kasih lengkap dat menu lurah guntur lurah guntur tolong,"sorry, please give the complete menu data for Guntur village head, Guntur village head, please"
mantap,Excellent
mantap praktis,steady practical
cepat,fast
sulit foto stnk bpkb ktp ambil galeri foto langsung sulit mudah foto langsung bpkb bank leasing solusi barcode isi bahan bakar minyak spbu tugas bantu apa tolak solusi tolong baik donggg kek ambil foto galeri,difficult to take a photo of STNK BPKB KTP take a photo gallery directly difficult easy take a photo directly BPKB bank leasing solution barcode fill fuel oil gas station task help what reject solution please be good donggg like take a photo gallery
so far so good,so far so good
good,good
aplikasi buruk sulit putar putar susah bikin akun sulit ambil pin tolong baik,bad app hard to rotate hard to create account hard to get pin please be nice
,#VALUE!
mantap,Excellent
mantap,Excellent
aplikasi layak pakai sistem,system usable application
good,good
atur susah barcode kuota nol lapor proses lapor instagram suruh tunggu gila,set barcode quota zero report process report instagram told to wait crazy
sulit konfirmasi unduh kode qr aplikasi buka unduh kode qr aneh salah sandi email sesuai daftar,hard to confirm download qr code application open download qr code strange wrong password email according to list
daftar muncul terang sistem sibuk coba admin,list appears bright system busy try admin
barcode ganti plat nomor tolak sistem foto stnk mobil niru tutorial youtube tolak payah bikin susah masyarakat,barcode change number plate reject car registration photo system copy youtube tutorial reject hard work make it difficult for society
kelas bumn besar web daftar kendara aplikasi sok aplikasi hambat kerja,"class of large state-owned companies, vehicle registration website, pretentious application, the application is hampering its work"
simpel banding bayar pakai uang kontan,simple compare paying with cash
baik roda wajib barcode,good wheels must barcode
mantap bantu terima kasih mypertamina promo poin diskon harga voucher,great help thank you mypertamina promo points discount price voucher
moga manfaat berkah,hopefully it will be beneficial and blessed
subsidi mobil fortuner isi pertalite,Fortuner car subsidy filled with Pertalite
aplikasi lot tolong baik,lot application please be good
salah sistem ulang kali bantu mudah masyarakat sulit masyarakat,wrong system repeat help easy society difficult society
buruk pp daftar ambil qr update bagus,bad pp register take qr update good
sulit,difficult
dar saran fitur bayar dana simpel praktis terima kasih,"from the suggestion of simple practical fund payment features, thank you"
gagal barcode,barcode failure
kode otp beberapa kasih kasih,otp code some love
fitur bagus bagus bikin kesal bayar pakai mypertamina spbu error alhasil fungsi tuju install biar bank tarik tunai cashless repot pakai aplikasi tolong kembang baik ganggu orang awam bawa cash,good features good annoying paying using mypertamina gas station error result in function go install so bank cash withdrawal cashless is a hassle using application please develop good annoying lay people bring cash
oke,Okay
oke mantap,okay great
mantap,Excellent
sulit login,hard to login
ganti nomor handphone nomor aktif,change mobile number active number
layan cepat,fast service
oke,Okay
barcode muncul,barcode appears
mantap,Excellent
,#VALUE!
bagus,Good
aplikasi buruk akun,bad account app
bagus bantu driver susah uang tunai,good help driver who has trouble getting cash
aplikasi buka stack,open stack application
daftar subsidi sistem error,system error subsidy list
daftar login atur abal abal,register login set fake
bantu,help
mantap,Excellent
kirim data stnk foto kendara,send vehicle registration data photo
balas email kirim hemm,reply email send hmm
manfaat,benefit
mantap praktis manfaat,steady practical benefits
bayar lancar maaf daftar subsidi susah foto gagal ambil gambar galeri mohon baik ambil gambar galeri terima kasih,smooth payment sorry subsidy registration is difficult photo failed take gallery photo please take gallery photo thank you
susah masyarakat,difficult society
oke,Okay
digitalisasi pasti guna kendala kalo kendala pasti mumpuni kerja urus daftar kek selesai buang woi,digitalization is definitely useful for obstacles if obstacles are definitely capable of working to take care of the list like when finished throwing it away hey
hilang fitur transaksi program mypertamina error barcode bikin tengkar langgan operator,"MyPertamina program transaction feature missing, barcode error causes operator subscriptions to quarrel"
alhamdulillah suka mypertamina gampang perlu isi bahan bakar minyak kendala pilih bayar terima kasih mypertamina sukses guna setia,"thank God I like mypertamina, it's easy, I need to fill up with fuel, the problem is choosing to pay, thank you mypertamina, success, loyal"
mohon nomor polisi tolak salah sulit saran pertamina buka stand daftar barcode spbu biar masyarakat awam notabene gagap teknologi sulit aju subsidi,"Please ask for a police number, reject it, it's wrong, it's difficult, Pertamina's suggestion is to open a stand to register gas station barcodes so that ordinary people, who are technologically illiterate, will find it difficult to apply for subsidies"
register barcode barcode baru data error,register barcode new barcode data error
aplikasi batu,stone application
mudah,easy
bikin atur isi data gagal saran orang spbu admin huh,make the data entry settings fail admin gas station people's suggestion huh
sulit aplikasi,difficult application
bantu terima kasih mypertamina,help thank you mypertamina
good,good
mantap,Excellent
ramah mas operator,friendly operator sir
banyak update,lots of updates
simpel kurang aktivitas fisik,simple lack of physical activity
sulit,difficult
sih aplikasi register masuk pakai nik sandi login nomor handphone sandi digit masuk login registrasi,"the application registers to enter using the NIK password, login with the cellphone number, digit password, login, registration"
terima kasih,Thank You
metode bayar gagal coba gagal potong bayar simpan kartu metode bayar,payment method failed try failed cut payment save card payment method
bagus,Good
suka,Like
data tolak bukti bpkb tolak,data reject proof bpkb reject
buruk aplikasi error data sesuai tolak bagus buruk update baru,bad application error data match reject good bad new update
mantap,Excellent
aplikasi buruk bantu sebentar bentar update,bad app help update in a minute
mobil ganti mobil jual bahan bakar minyak bio solar ganti mobil bahan bakar minyak pertalite,car change car sell bio solar fuel oil change car sell pertalite fuel oil
aplikasi sulit salah sistem,application hard system error
lot susah akses,hard to access lot
qr bobol orang sesuai untuk,qr hack people suitable for
alhamdulillah manfaat,thank God it's useful
saldo gopay muncul suruh putus pemberitahuannya baik sistem,"Gopay balance appears asking to disconnect the notification, both systems"
hidup susah beli pertalite pindai barcode sasar apa iya,life is hard to buy pertalite scan barcode is it right
oke,Okay
praktis efektif,practical effective
tolong aplikasi baru lengkap aplikasi aplikasi guna masyarakat bikin sulit,please new application complete application application for society makes it difficult
paksa taat sulit kelas bumn sistem buruk,"forced obedience is difficult, the BUMN class is a bad system"
mudah,easy
klaim terang kendara tangguh,bright claim tough ride
mantap aplikasi,great application
bagus mudah,good easy
lambat kadang log out,slow sometimes log out
lumayan voucher ribu,quite a few thousand vouchers
coba foto stnk barcode pakai galeri susah lansung foto,"try taking a photo of the STNK barcode using the gallery, it's difficult to take a photo directly"
payah daftar salah sistem baik woi aplikasi lol,soooo bad list wrong system good hey app lol
bantu mudah,easy help
mitra aktif,active partner
aplikasi kek sial data tinggal posting data tunggu sistem bodoh inti sulit subsidi sulit orang,application like shit data just post data wait stupid system core difficult subsidy difficult people
muat ulang daftar,reload list
kacau hasil daftar akun daftar unit kendara pemberitahuan daftar pertalite khusus kendara roda kendara roda wajib daftar beli pertalite pasu kali hari beda nomor rangka sesuai coba tim vendor tolong benah usaha bumn asa umkm terima kasih,chaotic results list of accounts list of vehicle units notification list of special pertalite for wheeled vehicles wheeled vehicles must register to buy pertalite pasu times different days frame number according to try vendor team please fix the state-owned enterprise hope for UMKM thank you
terima kasih mypertamina,thank you mypertamina
bagus,Good
good,good
sulit rakyat mudah orang duit indonesia rakyat subsidi beli pertalite sulit pakai barcode rakyat aplikasi contoh negara malaysia subsidi murah bahan bakar minyak rakyat,difficult people easy people money indonesia people subsidies buy pertalite difficult use barcode people application example country malaysia subsidies cheap fuel oil people
daftar data valid tolak nomor polisi sesuai nomor polisi kirim email customer pertamina bingung alhamdulillah email kasih ulas balas tanggal januari aplikasi hasil verifikasi terima kasih,list of valid data reject police number according to police number send email customer pertamina confused thank God email give review reply date january application verification results thank you
unduh barcode sulit ampun muat halaman,download barcode hard to load page
aplikasi super sulit,super hard app
coba baik aplikasi daftar kartu debit metode bayar kali,try both debit card registration application payment method times
bagus,Good
buruk daftar sulit pesan sulit,bad list hard message hard
ayo lupa sandi reset sandi muncul pop up link kedaluwarsa coba pegawai pertamina pom respon bantu tolong solved capai benar hasil,"Come on, forgot password, reset password, a pop up appears, the link has expired, try the Pertamina petrol station employee, respond, help, please solve it, achieve the correct result"
sambung qr bahan bakar minyak,qr fuel oil connection
sulit urgent isi bahan bakar daftar mypertamina daftar hasil login sulit masyarakat,difficult urgent refueling list mypertamina list login results difficult community
bisa tugas spbu bilang barcode rusak tunda isi pertalite bahan bakar minyak habis lambat,"Can the gas station say the barcode is damaged, delay the filling of Pertalite, the fuel oil is running out slowly"
erti pakai sulit,meaning of use is difficult
gagal buka,failed to open
good job,good job
you will get many manfaat such as cashback purchase poin,you will get many benefits such as cashback purchase points
aplikasi muncul unit,application appears unit
salah sistem mohon cerah isi data sesuai gagal mau sih daftar bikin sulit isi bahan bakar minyak sulit aplikasi masalah pusing coba ibu hadehhh,wrong system please fill in the data correctly failed want to register make it difficult to fill fuel oil difficult application problem dizzy try mother hadehhh
mutasi plat nomor ubah cetak qr sesi habis sulit isi scan qr,mutation of number plate change print qr session expired difficult to fill scan qr
cakap,speak
xw fandyarief fffffffc,xw fandyarief fffffffc
aju hapus akun proses selesai selesai solusi,forward delete account process complete complete solution
daftar subsidi,list of subsidies
aplikasi susah masyarakat daftar sulit gagal daftar ulang nik daftar perintah sistem susah orang desak antar orang sakit jalan pakai mobil pribadi kuota pom isi minyak kendara layan usaha mypertamina tanggung,application difficult for people to register difficult to fail to re-register NIK register system command difficult people urge to take sick people on the road using private cars quota gas stations fill up with oil vehicles service business mypertamina responsible
main handphone isi bahan bakar minyak balik main handphone isi bahan bakar minyak,play mobile phone fill up fuel oil back play mobile phone fill up fuel oil
bantu,help
cashback,cashback
maju pantang mundur kabur lari,move forward never retreat run away
bagus,Good
kode registrasi kirim masuk,registration code send in
susah foto ktp maksimal mb ambil galeri langsung,"It's hard to take a photo of your ID card, but take it directly from the gallery"
barcode,barcode
verifikasi tolak gara gara salah input isi silinder pilih opsi ubah ganti kolom isi silinder salah tunggu minggu,"verification rejected due to incorrect cylinder content input, select the change option, replace the incorrect cylinder content column, wait a week"
aplikasi buruk repot,bad app hassle
sulit kasih solusi sebal,"hard to give a solution, annoyed"
program aneh coba unit error sistem pom bensin orang atur suruh hubung customer pertamina hubung customer kasih saran youtube coba bilang langsung tutup telepon customer program nasional wajib warga negara indonesia server solusi korup,strange program try unit error system gas station people set tell to contact customer pertamina contact customer give advice youtube try say immediately hang up customer call national program mandatory for Indonesian citizens server corrupt solution
mantap,Excellent
driver taxi angkut darat roda,land taxi driver wheel transport
mantap,Excellent
subsidi bantu sulit,subsidies help the poor
oke,Okay
kelas bumn bikin aplikasi sulit sumber daya manusia rendah gaji,"BUMN class makes applications difficult, human resources are low in salary"
website aplikasi daftar unit pemberitahuan gagal sistem email customer solusi gilir tunggu informasi pic daftar website coba pemberitahuan beres suruh ganti perangkat ganti kali handphone beda laptop beda kacau oh ll,website application list unit notification failed customer email system solution take turns waiting for information pic list website try notification done ask to change device change times different cellphone different laptop messed up oh ll
aplikasi sukses bikin darah coba daftar hasil gara gara unggah foto stnk menu daftar,successful application to make blood try to register results because of uploading STNK photo register menu
update sebal,update annoyed
bagus,Good
error aplikasi,application error
pertamina mantap,Pertamina is steady
kasih rating bintang biar take down google barcode sesuai perintah aktual sulit ujung ujung presiden rumit,give a star rating so that taking down the google barcode according to the actual command is difficult but the president ends up being complicated
bagus,Good
lancar,fluent
aplikasi jaman mudah isi bensin sulit isi bensin barcode coba enak,application era easy to fill petrol difficult to fill petrol barcode try delicious
aplikasi buruk daftar mobil bayar pajak mobil nomor polisi registrasi masuk korlantas sulit pakai fasilitas negara warga indonesia sulit brengsek,bad application register car pay car tax police number registration enter traffic corps difficult to use state facilities indonesian citizens difficult jerk
my pertamina kosong masuk daftar susah muat ulang,My Pertamina is empty and is on the hard to reload list
bagus,Good
guna friendly sih aplikasi verifikasi lebih good,"to be friendly, the verification application is better"
data tulis lengkap verifikasi tolak ubah data sulit ampun,complete data write verification reject change data is very difficult
bayar mypertamina praktis simpel kurang nominal full tangki,pay mypertamina practically simple less nominal full tank
sulit,difficult
klik tombol lanjut proses tambah kendara,Click the button to continue the process of adding vehicles
sayang pom pertamina terima bayar aplikasi pom pom pinggir jalan lintas kota provinsi aplikasi sih bagus bantu keluar pakai bahan bakar minyak bulan atur history guna aplikasi terima kasih,"Dear Pertamina gas stations accept payments for gas stations on the side of the road across the city and province, the application is good, it helps to get out using fuel for the month, set the history of using the application, thank you"
oke,Okay
tuju aplikasi yah karyawan sih maaf,go to the application yes employee sorry
respon transaksi,transaction response
daftar,list
salah sistem daftar subsidi subsidi tolong kondisi sistem ulang kali kali via aplikasi website kendala sistem solusi,"wrong system list of subsidies, please re-register the system condition several times via the website application, system problems, solutions"
anda langsung barcode biar bolak aplikasi,you can directly barcode so that the application can be used back and forth
layan bagus,good service
good,good
aplikasi sampah kali verifikasi tolak aplikasi stabil perintah bisa bikin rakyat susah gampang daftar kendara,Trash application times verification reject stable application command can make it difficult for people to register vehicles
mudah,easy
aplikasi buruk verifikasi data asyik ganggu sistem tolong baik aplikasi,bad application data verification fun disturbs the system please improve the application
bantu,help
pemberitahuan muat ulang halaman ambil barcode sentuh subsidi pemberitahuan,notification reload page get barcode touch notification subsidy
kali coba daftar gagal sistem mohon baik,"when trying to register the system failed, please be kind"
mantap,Excellent
aplikasi sial data stnk bpkb plat nomor ktp tolak alas data valid,unlucky application data stnk bpkb plate number ktp reject valid data base
good,good
otp was working whatsapp pesan terima kasih,otp was working whatsapp message thank you
bagus,Good
suruh foto stnk subsidi gilir foto centang langsung suruh isi ulang kali kali isi website benar woi samsat benar data,"Asked to take photo of STNK subsidy, take photo, check it immediately, ask to refill it, fill in the website correctly, hey, Samsat, correct data"
puas,satisfied
aplikasi bagus tingkat terima kasih,good app rate thanks
mantap kak,great sis
simpel,simple
,#VALUE!
koneksi layan input data dokumen aju qr kode mypertamina,connection service input data document submit qr code mypertamina
coba,try
untung perintah aplikasi parah masuk data gagal,luckily command application severe data entry failed
bikin aplikasi gilir keluh susah ampun video call bilang sih telepon video call antar tunggu telepon gelap gulita suara,"make a video call application, it's really hard, say video call, wait for the phone, it's pitch black, the sound is dark"
aplikasi sampah tolol update susah isi bensin update alhasil bikin pom pegang operasional aplikasi pecat cari kompeten eror isi eh pindai barcode kali kali coba tugas bilang suruh tunggu jam coba,stupid trash application update hard to fill petrol update result makes gas station handle operational application fired looking for competent error filling eh scan barcode try times task says tell to wait hours try
login,login
guna,use
kumpul point,collect points
unggah foto ktp daftar klik oke ambil foto cari solusi,upload photo of ID card register click ok take photo find solution
mantap,Excellent
oke,Okay
mantap,Excellent
jalan kota,city ​​street
hubung gopay mantap pakai aplikasi pakai gopay malam isi pom margonda depok pegawai kasih langsung unduh langsung pakai gopay,connect gopay steady use the application use gopay at night fill in the Margonda Depok petrol station employee gives direct download directly use gopay
recomended,recommended
buruk,bad
web aplikasi rusak guna salah sistem mohon coba coba hasil sulit isi bahan bakar minyak sulit daftar sulit hei dunia,web application broken use wrong system please try try results difficult fill fuel oil difficult register difficult hey world
pantes jasa bikin barcode bikin sulit foto ktp pencet oke kamera haha uninstall bayar calo,"no wonder the barcode making service makes it difficult to take KTP photos, press OK camera haha ​​uninstall pay broker"
aplikasi perintah bagus,good command app
bikin aplikasi mypertamina spbu alas ganggu hapus mypertamina play store,make mypertamina gas station application alas disturbing delete mypertamina play store
oke,Okay
daftar gagal ber ulang kali daftar gagal,register failed repeatedly register failed
masuk daftar subsidi aplikasi buka bagai pertamina pilih bulu gin cerita,enter the list of application subsidies open like pertamina choose gin feathers story
,#VALUE!
barcode solar kak,solar barcode sis
kasih spbu pakai moga depan spbu pakai,"give me a gas station to use, hopefully next time I'll use it"
mobil mewah alfard crv innova barcode beli pertalite,luxury car alfard crv innova barcode buy pertalite
lumayan sih,it's quite good
aplikasi tolong baik daftar mypertamina aplikasi unduh handphone daftar terang ganggu sistem huufffttt,application please good mypertamina application download mobile phone list bright disturbing system huufffttt
moga mudah akses bahan bakar minyak layan masyarakat indonesia,Hopefully easy access to fuel oil will serve the Indonesian people
qr tampil,qr display
alhamdulillah pasang daftar bahan bakar minyak subsidi nik pakai verifikasi email kirim email alamat saran alhamdulillah langsung balas ikut data baik alhamdulillah proses buka langsung muncul tampil daftar langsung ikut langkah barcode mudah terima kasih admin pertamina,"thank God, install the list of subsidized fuel oil, NIK, use email verification, send email, suggested address, thank God, reply immediately, follow the data, good, thank God, the process of opening it immediately appears, display the list directly, follow the easy barcode steps, thank you, Pertamina admin"
,#VALUE!
,#VALUE!
update,update
good,good
sinyal hilang bayar tunggu,lost signal pay wait
terima kasih kerjasamanya mudah bidang teknologi modern,Thank you for your easy cooperation in the field of modern technology
barcode cecer spbu salah jatah bahan bakar minyak ganti barcode susah lupa sandi kirim email riset email kirim mypertamina buka susah belanja uang negeri isi bahan bakar minyak pakai duit sulit,barcode spilled gas station wrong fuel quota change barcode difficult forgot password send email research email send mypertamina open difficult shopping for state money fill up fuel oil using money difficult
buruk aplikasi bisa roda pickup deteksi roda,bad app can detect wheel pickup wheel
tolak bayar via bantu malas ambil uang atm,refuse payment via help lazy to take money atm
layan,service
aneh ganggu sistem daftar subsidi tolong baik sistem,strange disturbing the subsidy registration system please fix the system
,#VALUE!
mypertamina mantap,mypertamina is great
uang kembali transaksi januari spbu kletek taman sidoarjo ribu belit layan kembali uang sistem qris bejat,cash back transaction january gas station kletek taman sidoarjo thousand twists service return money qris system is depraved
pertamina moga lihat komentar rating bintang layan ajar sopan ketus alami isi bensin sulit layan ketus etis isi pom bensin mayor,"Pertamina, please see the comments, star rating, service, teaching, polite, curt, natural, filling petrol, difficult, service, curt, ethical, filling petrol stations, mayor"
cepat bayar,fast pay
aplikasi taiikkkkkkkkkkkkk susah masyarakat sial,"taiikkkkkkkkkkkkk application is difficult, unlucky people"
bantu mantap margo mantap,help steady steady margo
aplikasi salah sistem terus daftar mal niat aplikasi arah orang unduh aplikasi isi bensin,application system error continues to register mall intention application direction people download application fill petrol
aplikasi unduh isi saldo gilir pakai pom bensin support,download application to top up balance using petrol stations support
pin klaim barcode salah sistem,pin claim barcode wrong system
mantap ama,steady ama
isi bahan bakar minyak barcode pakai orang kasih barcode orang,fill the fuel with barcode using someone give someone a barcode
si aplikasi instansi bumn andal,the reliable BUMN agency application
mantap,Excellent
sulit parah keluh mah susah login barcode,"It's really hard, I'm complaining that it's hard to log in with the barcode"
mantap,Excellent
